"muni_code","year","sec_share"
32079,2005,16.7412712623098
32080,2005,11.3350125944584
32081,2005,15.0857142857143
32082,2005,11.1016225448335
32083,2005,10.4725415070243
32084,2005,9.59051724137931
32085,2005,17.3479561316052
32086,2005,13.4249003101462
32087,2005,13.7064534551685
32088,2005,7.04761904761905
32089,2005,12.3376623376623
32090,2005,66.1951909476662
32091,2005,10.4389086595492
32092,2005,21.0526315789474
32999,2005,4.89790089961445
27001,2009,11.0619469026549
27002,2009,13.7052341597796
27003,2009,18.730358265242
27004,2009,8.19112627986348
27005,2009,19.1616766467066
27006,2009,11.11645813282
27007,2009,12.3946037099494
27008,2009,12.2349102773246
27009,2009,16.2363455809335
27010,2009,13.9508290451687
27011,2009,14.7373788883223
27012,2009,11.4583333333333
27013,2009,15.2229299363057
27014,2009,20.8996815286624
27015,2009,11.4293898596391
27016,2009,21.0637177461822
27017,2009,10
27018,2009,13.6201991465149
27019,2009,18.1224899598394
27020,2009,9.33886747702342
27021,2009,12.639405204461
27022,2009,13.6375984786743
27023,2009,7.3697585768742
27024,2009,20.7397622192867
27025,2009,16.2536749265015
27026,2009,13.3232780291604
27027,2009,15.6213704994193
27028,2009,14.7946261424953
27029,2009,16.131830008673
27030,2009,24.5261561789234
27031,2009,19.5432586736935
27032,2009,10.6768005790807
27033,2009,6.88468158347676
27034,2009,8.97043832823649
27035,2009,9.32203389830508
27037,2009,12.7232142857143
27038,2009,9.47603121516165
27039,2009,16.0508782556027
27040,2009,8.50244926522043
27041,2009,13.926499032882
27042,2009,9.30383864671438
27043,2009,13.2284921369103
27044,2009,24.0700218818381
27045,2009,8.1587651598677
27046,2009,15.2851711026616
27047,2009,32.2881921280854
27048,2009,10.9405940594059
27049,2009,22.0588235294118
27050,2009,9.78219335116546
27051,2009,21.4496271891798
27052,2009,5.16605166051661
27053,2009,7.48031496062992
27054,2009,30.5293005671077
27055,2009,8.43776106934002
27056,2009,15.2238805970149
27057,2009,13.2015227803021
27058,2009,12.5516364791865
27059,2009,12.5948406676783
27060,2009,18.8041989958923
27061,2009,15.7232704402516
27062,2009,5.62390158172232
27063,2009,20.655737704918
27064,2009,13.0094043887147
27065,2009,13.0042918454936
27066,2009,16.172947070355
27901,2009,15.969387755102
27902,2009,15.8988993069711
27990,2009,3.2793323514973
32001,2009,52.7369826435247
32002,2009,11.3761467889908
32003,2009,12.1323529411765
32004,2009,5.70469798657718
32005,2009,11.1922141119221
32006,2009,18.1446111869031
32007,2009,27.5341480948958
32008,2009,20.7347566839777
32009,2009,9.81496379726468
32010,2009,5.8659217877095
32011,2009,6.3273727647868
32012,2009,30.4913294797688
32013,2009,12.6055149127743
32014,2009,62.0126926563917
32015,2009,6.97084917617237
32016,2009,9.63704630788486
32017,2009,9.04139433551198
32018,2009,7.29800173761946
32019,2009,14.289156626506
32020,2009,32.289156626506
32021,2009,12.313003452244
32022,2009,27.464258841234
32023,2009,7.13632204940531
32024,2009,23.7859007832898
32025,2009,14.952380952381
32026,2009,16.4620281946339
32027,2009,14.0147523709168
32028,2009,12.8987517337032
32029,2009,17.9959100204499
32030,2009,6.82556879739978
32031,2009,14.6128680479826
32032,2009,22.7198697068404
32033,2009,19.9346405228758
32034,2009,15.6190476190476
32035,2009,11.1842105263158
32036,2009,13.8674884437596
32037,2009,26.080476900149
32038,2009,9.04255319148936
32039,2009,32.497678737233
32040,2009,14.3659711075441
32041,2009,26.8148148148148
32042,2009,23.1966053748232
32043,2009,36.7880485527544
32044,2009,28.7741935483871
32045,2009,6.18510158013544
32046,2009,12.5248508946322
32047,2009,22.9082515868436
32048,2009,19.1432396251673
32049,2009,17.6923076923077
32050,2009,22.0432581684307
32051,2009,9.46915351506456
32052,2009,7.89189189189189
32053,2009,13.4677419354839
32054,2009,14.9179011665433
32055,2009,11.0065851364064
32056,2009,10.4885993485342
32057,2009,5.03875968992248
32058,2009,14.1411586137111
32059,2009,9.43513345747983
32060,2009,7.65832106038292
32061,2009,10.2983638113571
32062,2009,32.3891625615764
32063,2009,20.7253886010363
32064,2009,7.30088495575221
32065,2009,8.55784469096672
32066,2009,7.78210116731517
32067,2009,51.5
32068,2009,33.3601933924255
32069,2009,13.7912673056443
32070,2009,21.1538461538462
32071,2009,11.8146718146718
32072,2009,14.4096064042695
32073,2009,7.67263427109974
32074,2009,10.4210526315789
32075,2009,12.2355430183357
32076,2009,12.3695976154993
32077,2009,13.6888888888889
32078,2009,10.2321582115219
32079,2009,18.0650684931507
32080,2009,7.01754385964912
32081,2009,13.5754189944134
32082,2009,13.077593722755
32083,2009,6.98324022346369
32084,2009,25.6627783669141
32085,2009,17.6324719394414
32086,2009,15.881809787627
32087,2009,12.2150789012274
32088,2009,8.07692307692308
32089,2009,15.4109589041096
32090,2009,66.7146974063401
32091,2009,10.1273499090358
32092,2009,32.244008714597
32990,2009,4.22115018408023
27001,2012,13.487071977638
27002,2012,11.7274167987322
27003,2012,12.5273124544792
27004,2012,8.14639905548996
27005,2012,23.1409544950056
27006,2012,14.6202170188464
27007,2012,10.5020727775219
27008,2012,14.8698884758364
27009,2012,12.958435207824
27010,2012,17.6450511945392
27011,2012,15.3937240970989
27012,2012,14.8831488314883
27013,2012,21.6845878136201
27014,2012,26.1412782316194
27015,2012,14.0630074699578
27016,2012,24.5499181669394
27017,2012,12.0481927710843
27018,2012,15.6290253327608
27019,2012,21.2323540633346
27020,2012,10.8117326057299
27021,2012,16.1698283649503
27022,2012,19.7689768976898
27023,2012,9.0863704443335
27024,2012,17.2169811320755
27025,2012,22.4857685009488
27026,2012,16.624843161857
27027,2012,19.9048913043478
27028,2012,22.9872419873457
27029,2012,15.2329749103943
27030,2012,23.0697239120262
27031,2012,23.4964322120285
27032,2012,15.1398264223722
27033,2012,11.8161925601751
27034,2012,12.0466321243523
27035,2012,12.1951219512195
27037,2012,8.06642941874259
27038,2012,9.18918918918919
27039,2012,19.038208168643
27040,2012,10.7925129430506
27041,2012,14.2938173567782
27042,2012,10.4790419161677
27043,2012,15.6698564593301
27044,2012,21.39486103828
27045,2012,7.83289817232376
27046,2012,16.6231505657093
27047,2012,26.7996530789245
27048,2012,10.9644087256028
27049,2012,13.8686131386861
27050,2012,11.4545454545455
27051,2012,27.1210293526337
27052,2012,6.60522273425499
27053,2012,8.10810810810811
27054,2012,23.9406779661017
27055,2012,8.8145896656535
27056,2012,18.6101295641932
27057,2012,18.2196917094848
27058,2012,13.6434108527132
27059,2012,15.2827918170878
27060,2012,18.4920198128784
27061,2012,13.5204081632653
27062,2012,10.5882352941176
27063,2012,15.7164869029276
27064,2012,14.5322434150772
27065,2012,15.9248269040554
27066,2012,22.305643012836
27901,2012,13.953488372093
27902,2012,20.1177856301531
27990,2012,8.99500277623543
32001,2012,51.6740740740741
32002,2012,11.5147361206306
32003,2012,14.2642642642643
32004,2012,3.47490347490348
32005,2012,9.77337110481587
32006,2012,12.6748971193416
32007,2012,27.3567467652495
32008,2012,21.469164386445
32009,2012,12.883631713555
32010,2012,9.70873786407767
32011,2012,5.67260940032415
32012,2012,15.8928571428571
32013,2012,10.6100795755968
32014,2012,43.8752783964365
32015,2012,8.66141732283465
32016,2012,2.80649926144756
32017,2012,8.96358543417367
32018,2012,7.58341759352882
32019,2012,10.7797295589536
32020,2012,23.4012316437707
32021,2012,11.5862068965517
32022,2012,30.0373134328358
32023,2012,9.86639260020555
32024,2012,19.915509957755
32025,2012,12.8175519630485
32026,2012,13.7673425827108
32027,2012,8.3676268861454
32028,2012,7.88590604026846
32029,2012,9.77443609022556
32030,2012,9.25449871465296
32031,2012,8.43672456575682
32032,2012,18.2330485366297
32033,2012,13.9405204460967
32034,2012,16.4161849710983
32035,2012,8.90151515151515
32036,2012,13.4355275022543
32037,2012,12.0300751879699
32038,2012,12.4567474048443
32039,2012,13.3060388945752
32040,2012,13.3632286995516
32041,2012,13.3064516129032
32042,2012,11.8173679498657
32043,2012,13.6596471257826
