CÓD. PROVINCIA     ;PROVINCIA          ;CÓD. MUNICIPIO     ;CÓD. MUNICIPIO     ;MUNICIPIO          ;CENSO              ;TOTAL VOTOS        ;TOTAL ABSTENCIÓN   ;VOTOS EN BRANCO    ;VOTOS NULOS        ;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS      ;AUTONOMO (PARTIDO DE LOS AUTÓNOMOS Y PROFESIONALES);BNG(BLOQUE NACIONALISTA GALEGO) ;DPG (DEMOCRACIA PROGRESISTA GALEGA);EdeG (ESQUERDA DE GALICIA);FPG (FRENTE POPULAR GALEGA);IU-EU (ESQUERDA UNIDA-IZQUIERDA UNIDA);PH(PARTIDO HUMANISTA);PP (PARTIDO POPULAR);PSdeG-PSOE(PARTIDO DOS SOCIALISTAS DE GALICIA-PARTIDO SOCIALISTA OBRERO ESPAÑOL)  ;SDD(PARTIDO SOCIAL Y DEMOCRÁTICO DE DERECHO) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;35;35;Fene;12901;7521;5380;140;29;7361;7501;49;2804;23;46;17;203;8;2629;1573;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;36;36;Ferrol;69380;39812;29568;953;262;38460;39413;231;10239;142;222;49;830;96;17998;8790;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;37;37;Fisterra;4246;2328;1918;22;20;2296;2318;2;651;5;2;2;7;8;1067;542;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;38;38;Frades;2616;1717;899;19;16;1698;1717;3;427;6;2;4;1;2;937;300;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;39;39;Irixoa;1540;956;584;8;9;948;956;2;166;4;3;4;3;1;588;168;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;40;40;Laxe;2954;2038;916;13;13;2022;2035;2;455;9;13;4;11;5;1000;513;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;41;41;Laracha;9322;6871;2451;67;51;6756;6823;14;1467;14;4;8;9;11;3917;1309;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;42;42;Lousame;3510;2248;1262;16;18;2211;2227;3;594;7;9;11;8;4;1052;526;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;43;43;Malpica de Bergantiños;6214;4366;1848;43;46;4276;4319;15;1081;8;19;11;9;14;2141;979;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;44;44;Mañón;1736;1278;458;6;5;1276;1282;5;188;5;4;3;4;3;797;258;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;45;45;Mazaricos;5188;2755;2433;22;6;2720;2742;8;618;14;0;9;2;3;1621;452;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;46;46;Melide;7306;4704;2602;44;46;4518;4562;10;891;101;5;11;8;13;2969;606;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;47;47;Mesía;2944;1807;1137;18;4;1832;1850;4;601;6;1;7;2;3;933;228;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;48;48;Miño;4238;2878;1360;46;24;2796;2842;10;640;14;8;1;8;4;1623;500;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;49;49;Moeche;1374;837;537;10;3;825;835;0;155;53;1;1;1;0;513;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;50;50;Monfero;2316;1188;1128;6;11;1174;1180;3;276;4;4;3;2;0;495;384;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;51;51;Mugardos;5178;3236;1942;62;21;3156;3218;9;867;5;10;1;219;1;1333;708;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;52;52;Muxía;5090;3672;1418;23;36;3617;3640;6;684;7;3;3;6;8;1916;980;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;53;53;Muros;8579;5382;3197;70;36;5276;5346;18;1668;10;10;17;11;13;2335;1194;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;54;54;Narón;26289;13843;12446;251;76;13516;13767;102;3657;40;86;30;182;40;6638;2741;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;55;55;Neda;5451;3074;2377;30;11;3033;3063;9;885;14;12;7;100;7;1226;773;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;56;56;Negreira;5659;3994;1665;36;30;3928;3964;6;702;8;10;4;11;4;2309;874;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;57;57;Noia;11937;8321;3616;88;79;8154;8242;18;1893;15;18;11;27;20;4303;1849;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;58;58;Oleiros;21881;13093;8788;390;73;12630;13020;58;3312;116;76;16;98;33;5576;3345;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;59;59;Ordes;10014;6336;3678;95;51;6190;6285;33;1473;61;25;22;29;25;3389;1133;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;60;60;Oroso;4457;2785;1672;30;17;2738;2768;16;653;14;12;6;7;8;1466;556;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;61;61;Ortigueira;7263;4668;2595;75;30;4563;4638;25;865;54;7;8;12;10;2782;800;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;62;62;Outes;7162;4794;2368;57;28;4709;4766;7;952;14;9;16;17;10;2903;781;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;63;63;Oza dos Ríos;2857;1809;1048;20;10;1779;1799;4;321;5;3;4;1;3;1125;313;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;64;64;Paderne;2487;1786;701;32;10;1744;1776;5;301;5;1;3;3;4;861;561;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;65;65;Padrón;7712;5602;2110;75;45;5482;5557;11;1364;22;14;6;13;14;3024;1014;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;66;66;Pino (O);4215;2762;1453;35;19;2708;2743;6;502;11;9;6;16;3;1788;367;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;67;67;Pobra do Caramiñal;8318;5926;2392;47;32;5847;5894;8;1535;8;8;11;24;3;3163;1087;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;68;68;Ponteceso;6152;4000;2152;54;36;3910;3964;11;810;10;9;6;13;19;2214;818;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;69;69;Pontedeume;7476;4813;2663;74;38;4701;4775;34;1515;17;37;7;50;14;2053;974;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;70;70;Pontes de García Rodríguez (As);10679;6112;4567;97;26;5989;6086;4;2365;7;26;27;89;6;2420;1045;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;71;71;Porto do Son;8350;5359;2991;43;28;5288;5331;13;1077;12;22;6;19;16;2525;1598;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;72;72;Rianxo;9798;6969;2829;51;68;6850;6901;16;2210;18;23;14;22;9;2668;1870;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;73;73;Ribeira;21310;13360;7950;221;55;13084;13305;30;3477;40;37;9;49;25;7372;2045;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;74;74;Rois;4413;3160;1253;30;18;3112;3142;5;868;1;6;5;1;2;1797;427;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;75;75;Sada;9475;6514;2961;101;51;6362;6463;24;1592;30;16;9;27;23;3087;1554;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
