Cód Cir;Cód Con;Concello;;Censo;Certif Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;BNG;ECG;ESCANOS EN BRANCO;PACMA;PODEMOS-ALIANZA VERDE;PP;PSdeG-PSOE;PUM+J;SUMAR GALICIA;VOX
15;021;Carral;;5468;0;5468;3589;38;29;1879;3551;3522;1167;1;2;11;15;1763;396;4;79;84
15;022;Cedeira;;5425;0;5425;3315;31;23;2110;3284;3261;1224;0;3;11;8;1464;409;3;60;79
15;023;Cee;;6397;0;6397;4238;42;32;2159;4196;4164;1260;0;2;6;7;1934;803;3;58;91
15;024;Cerceda;;4232;0;4232;3024;50;20;1208;2974;2954;621;0;3;7;1;1642;566;4;35;75
15;025;Cerdido;;874;0;874;570;6;4;304;564;560;137;1;0;0;1;324;76;0;8;13
15;027;Coirós;;1602;0;1602;1184;10;12;418;1174;1162;251;0;1;2;3;717;142;1;11;34
15;028;Corcubión;;1450;0;1450;990;19;6;460;971;965;444;1;2;2;6;324;137;0;30;19
15;029;Coristanco;;5070;2;5070;3281;31;33;1789;3250;3217;817;3;2;3;4;1912;332;0;35;109
15;031;Culleredo;;24333;0;24333;15932;122;175;8401;15810;15635;5583;22;44;78;63;6514;2481;23;387;440
15;032;Curtis;;3389;0;3389;2393;43;22;996;2350;2328;517;1;9;0;3;1505;205;0;23;65
15;033;Dodro;;2293;0;2293;1717;16;8;576;1701;1693;622;0;3;10;1;801;195;0;19;42
15;034;Dumbría;;2513;0;2513;1663;25;14;850;1638;1624;417;0;2;3;2;738;425;0;14;23
15;035;Fene;;10895;1;10895;7037;58;74;3858;6979;6905;2936;2;13;30;22;2486;953;5;304;154
15;036;Ferrol;;53718;22;53718;32429;236;330;21289;32193;31863;9883;9;50;158;139;14369;4971;41;1333;910
15;037;Fisterra;;4023;0;4023;2360;14;6;1663;2346;2340;805;5;4;5;7;1086;322;0;47;59
15;038;Frades;;1970;0;1970;1476;17;17;494;1459;1442;384;0;1;1;1;761;264;1;9;20
15;039;Irixoa;;1181;0;1181;856;19;6;325;837;831;174;0;0;2;2;527;87;1;16;22
15;040;Laxe;;2564;0;2564;1763;20;10;801;1743;1733;500;4;4;2;17;957;203;1;19;26
15;042;Lousame;;2757;2;2757;1882;28;12;875;1854;1842;469;1;4;4;2;1061;236;1;23;41
15;043;Malpica de Bergantiños;;4797;0;4797;3183;40;27;1614;3143;3116;1008;0;4;6;3;1571;409;2;36;77
15;045;Mazaricos;;3376;0;3376;2187;9;9;1189;2178;2169;580;8;2;4;3;1361;143;3;17;48
15;044;Mañón;;1083;0;1083;780;6;2;303;774;772;165;0;0;0;0;465;120;0;9;13
15;046;Melide;;6228;0;6228;4612;75;31;1616;4537;4506;1443;2;7;6;10;2514;400;3;46;75
15;047;Mesía;;2133;0;2133;1458;14;12;675;1444;1432;362;1;3;1;3;801;225;3;9;24
15;048;Miño;;5521;0;5521;3721;33;30;1800;3688;3658;1184;1;5;14;5;1768;557;2;45;77
15;049;Moeche;;1067;3;1067;777;6;7;290;771;764;285;0;1;0;0;416;48;0;3;11
15;050;Monfero;;1612;0;1612;884;15;12;728;869;857;224;0;1;1;1;439;165;0;8;18
15;051;Mugardos;;4536;1;4536;2899;37;32;1637;2862;2830;1108;0;3;4;6;1076;409;1;148;75
15;053;Muros;;7202;0;7202;4675;29;34;2527;4646;4612;1799;0;9;12;6;2045;590;4;56;91
15;052;Muxía;;3889;0;3889;2552;20;14;1337;2532;2518;657;1;4;5;3;1353;409;0;18;68
15;054;Narón;;31914;0;31914;18551;170;231;13363;18381;18150;6276;13;46;91;60;8157;2253;25;689;540
15;055;Neda;;4276;0;4276;2666;15;38;1610;2651;2613;924;0;3;10;8;1100;407;1;88;72
15;056;Negreira;;5659;0;5659;3911;40;33;1748;3871;3838;1056;5;15;6;1;2097;537;6;35;80
15;057;Noia;;11844;0;11844;8127;91;60;3717;8036;7976;2654;2;15;27;12;3955;967;7;185;152
15;066;O Pino;;3901;0;3901;2860;23;25;1041;2837;2812;719;2;7;3;4;1750;238;2;42;45
15;058;Oleiros;;30080;0;30080;20473;115;218;9607;20358;20140;6447;5;42;110;82;10021;2390;17;514;512
15;059;Ordes;;10092;0;10092;7377;107;65;2715;7270;7205;2293;3;9;11;5;3943;692;6;83;160
15;060;Oroso;;6085;0;6085;4480;53;55;1605;4427;4372;1330;1;14;7;8;2325;506;3;83;95
15;061;Ortigueira;;4795;0;4795;3348;39;25;1447;3309;3284;823;1;4;6;4;1909;400;3;60;74
15;062;Outes;;5373;0;5373;3547;43;23;1826;3504;3481;1013;2;5;7;4;2010;313;5;62;60
15;902;Oza-Cesuras;;4548;0;4548;3168;25;23;1380;3143;3120;746;3;4;9;9;1843;376;4;69;57
15;064;Paderne;;2094;0;2094;1527;14;19;567;1513;1494;352;2;2;2;2;809;269;1;26;29
15;065;Padrón;;6970;0;6970;4932;44;33;2038;4888;4855;1603;2;6;18;15;2479;568;2;72;90
15;068;Ponteceso;;4620;0;4620;3013;35;13;1607;2978;2965;862;1;2;9;8;1567;410;6;30;70
15;069;Pontedeume;;6334;1;6334;4427;45;43;1907;4382;4339;1574;2;10;19;9;1746;777;4;131;67
15;071;Porto do Son;;7736;0;7736;5181;44;38;2555;5137;5099;1740;6;13;15;9;2564;515;3;78;156
15;072;Rianxo;;9276;0;9276;6281;63;38;2995;6218;6180;2454;6;11;19;24;2582;784;8;129;163
15;073;Ribeira;;21781;1;21781;13284;118;114;8497;13166;13052;4772;4;16;45;27;6484;873;8;166;657
15;074;Rois;;3756;0;3756;2783;32;19;973;2751;2732;696;0;2;7;1;1707;234;4;36;45
15;075;Sada;;13645;15;13645;8809;88;94;4836;8721;8627;2755;6;15;32;26;4287;1021;9;208;268
15;076;San Sadurniño;;2426;10;2426;1606;14;20;820;1592;1572;601;1;1;6;2;766;137;4;31;23
15;077;Santa Comba;;7807;0;7807;5137;52;33;2670;5085;5052;1097;12;11;11;6;3180;570;7;35;123
15;078;Santiago de Compostela;;79511;20;79511;56799;423;567;22712;56376;55809;20848;35;116;188;132;25722;6374;71;1401;922
15;079;Santiso;;1346;0;1346;958;8;4;388;950;946;310;1;1;1;1;521;96;0;3;12
15;080;Sobrado;;1560;0;1560;1112;15;4;448;1097;1093;190;0;1;1;2;700;170;0;10;19
15;082;Teo;;15753;0;15753;11212;97;122;4541;11115;10993;3842;6;33;40;48;5482;1091;14;218;219
15;083;Toques;;987;0;987;735;4;6;252;731;725;162;0;2;0;1;491;51;0;7;11
15;084;Tordoia;;2855;0;2855;2151;15;24;704;2136;2112;420;1;5;3;1;1459;156;1;19;47
15;085;Touro;;3018;0;3018;2104;25;16;914;2079;2063;554;0;1;6;0;1219;218;1;30;34
15;086;Trazo;;2610;0;2610;1932;25;13;678;1907;1894;399;0;5;6;1;1234;185;1;12;51
15;088;Val do Dubra;;3238;0;3238;2150;14;21;1088;2136;2115;455;0;3;2;1;1329;243;1;23;58
15;087;Valdoviño;;5981;19;5981;3781;27;28;2200;3754;3726;1123;0;3;8;9;1794;615;0;85;89
15;089;Vedra;;4216;0;4216;3051;25;28;1165;3026;2998;911;2;4;4;4;1657;303;2;54;57
15;091;Vilarmaior;;1098;0;1098;809;8;7;289;801;794;215;0;0;0;1;488;68;0;9;13
15;090;Vilasantar;;1104;0;1104;799;13;7;305;786;779;212;0;1;2;0;514;33;0;3;14
15;092;Vimianzo;;5951;0;5951;3953;38;20;1998;3915;3895;827;9;6;5;4;2150;802;1;18;73
15;093;Zas;;3811;0;3811;2637;8;12;1174;2629;2617;759;1;7;3;1;1519;254;2;16;55
15;990;Residentes ausentes-A Coruña;;164851;0;164851;8223;80;77;156628;8143;8066;1528;35;27;207;226;3832;1295;41;347;528
Total;;;;1088529;141;1088529;619409;5286;5938;469120;614123;608185;199462;441;1170;2551;1999;292651;79804;694;14014;15399
