Cód. Cir.;Cód. Con.;Concello;;Censo;Certif. Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;PUM+J;VOX;PSdeG-PSOE;PCTG;CONTIGO;PODEMOS-ESQUERDA UNIDA-ANOVA;PP;Cs;BNG;PACMA;EB;ESCO-RC-OV-M;EN MAREA-COMPROMISO POR GALICIA-PARTIDO GALEGUISTA
32;21;Castrelo do Val;;856;0;856;529;3;3;327;526;523;0;6;174;0;0;4;186;1;134;5;0;12;1
32;23;Castro Caldelas;;1.098;0;1.098;797;9;7;301;788;781;1;7;247;0;1;11;415;6;89;2;1;0;1
32;24;Celanova;;4.783;0;4.783;2.898;18;27;1.885;2.880;2.853;0;42;510;5;1;31;1.649;10;594;10;0;1;0
32;25;Cenlle;;999;0;999;743;11;3;256;732;729;1;20;95;2;0;17;483;1;105;3;0;0;2
32;29;Chandrexa de Queixa;;458;0;458;324;3;1;134;321;320;0;0;45;0;0;1;236;0;31;0;0;5;2
32;26;Coles;;2.684;1;2.685;1.655;20;13;1.030;1.635;1.622;1;39;443;1;1;42;783;13;280;11;1;4;3
32;27;Cortegada;;982;0;982;693;10;6;289;683;677;2;2;116;0;0;8;477;4;66;1;1;0;0
32;28;Cualedro;;1.513;0;1.513;946;9;4;567;937;933;1;27;117;1;0;10;649;3;122;2;0;0;1
32;30;Entrimo;;923;0;923;648;5;8;275;643;635;0;11;361;0;0;10;190;0;62;1;0;0;0
32;31;Esgos;;996;0;996;685;9;3;311;676;673;0;14;104;0;1;11;467;0;75;1;0;0;0
32;33;Gomesende;;651;0;651;401;0;3;250;401;398;0;11;63;0;0;8;295;2;19;0;0;0;0
32;38;Larouco;;395;0;395;242;6;1;153;236;235;0;5;49;0;0;5;149;0;25;1;0;0;1
