"muni_code","n_victims","c1930","repression_pc"
32089,1,3620,0.276243093922652
32091,1,6180,0.161812297734628
32092,1,2517,0.397298371076679
36001,2,6667,0.299985000749962
36002,1,4607,0.217060994139353
36003,6,6122,0.980071871937275
36004,10,9620,1.03950103950104
36006,4,7725,0.517799352750809
36008,31,14732,2.10426282921531
36009,7,9382,0.746109571519932
36011,3,5762,0.520652551197501
36012,1,9559,0.104613453290093
36014,2,6003,0.333166749958354
36015,2,7309,0.273635244219455
36017,18,30179,0.596441233970642
36021,5,9542,0.523999161601341
36022,9,6349,1.41754607024728
36023,15,7442,2.01558720773986
36024,9,20900,0.430622009569378
36025,1,6385,0.156617071260767
36026,17,14068,1.20841626386125
36028,1,5694,0.175623463294696
36029,7,10054,0.696240302367217
36030,8,7759,1.03106070369893
36031,1,847,1.18063754427391
36032,2,5437,0.367849917233769
36033,6,8211,0.730727073438071
36034,2,7718,0.259134490800726
36035,21,7645,2.74689339437541
36038,60,30566,1.96296538637702
36039,31,8811,3.51832936102599
36041,1,7233,0.138255219134522
36042,19,15287,1.24288611238307
36044,1,1942,0.514933058702369
36045,5,16024,0.312031952071892
36046,1,4007,0.249563264287497
36047,1,8632,0.115848007414272
36048,1,5820,0.171821305841924
36049,15,5327,2.81584381452975
36050,13,11004,1.18138858596874
36051,1,10282,0.0972573429293912
36052,7,16816,0.416270218839201
36053,1,4085,0.244798041615667
36054,8,12545,0.63770426464727
36055,59,12602,4.68179654023171
36056,1,5231,0.191168036704263
36057,278,65983,4.21320643195975
36058,3,5107,0.587429018993538
36059,4,10313,0.387859982546301
36060,35,17342,2.01822165840157
36061,10,9318,1.07319167203263
