CÓD. PROVINCIA     ;PROVINCIA          ;CÓD. MUNICIPIO     ;MUNICIPIO          ;CENSO              ;TOTAL VOTOS        ;TOTAL ABSTENCIÓN   ;VOTOS EN BRANCO    ;VOTOS NULOS        ;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS      ;PARTIDO COMUNISTA DOS POBOS DE ESPAÑA - COMUNISTAS DA GALIZA;A.I.D.G (ALTERNATIVA INDEPENDENTE DE GALICIA);C 21 (CONVERXENCIA 21);C's (CIUDADANOS - PARTIDO DE LA CIUDADANÍA);ADCG (ACCIÓN DEMOCRÁTICA CIUDADANOS DE GALICIA);VN (VÍA NOVA GALICIA);BNG-NÓS (BNG-NÓS CANDIDATURA GALEGA);PP (PARTIDO POPULAR);PACMA (PARTIDO ANIMALISTA CONTRA O MALTRATO ANIMAL);PSdeG - PSOE (PARTIDO DOS SOCIALISTAS DE GALICIA -PSOE);RECORTES CERO-GRUPO VERDE;PAYJ (PARTIDO ANTICORRUPCIÓN Y JUSTICIA);C-C (CIDADÁNS-CEMTRUM);CxG (COMPROMISO POR GALICIA);UNIDOS SI-DEF (UNIDOS POR EL FUTURO);P-LIB (PARTIDO LIBERTARIO);EN MAREA;GAÑEMOS;DO (DEMOCRACIA OURENSANA);EB (ESCANOS EN BRANCO);;
27;Lugo;45;Pedrafita do Cebreiro;1026;637;389;9;2;626;635;0;0;0;8;0;0;9;237;2;318;1;0;0;0;0;0;51;0;0;0;;
27;Lugo;46;Pol;1523;1054;469;11;12;1031;1042;0;0;0;18;0;0;82;465;3;331;1;0;0;0;0;0;129;2;0;0;;
27;Lugo;49;Portomarín;1396;950;446;3;4;943;946;0;0;1;26;0;0;39;615;4;189;2;0;0;1;0;0;66;0;0;0;;
27;Lugo;50;Quiroga;2945;2065;880;13;26;2026;2039;0;0;1;46;0;0;95;1340;4;273;2;3;0;1;0;0;259;2;0;0;;
27;Lugo;56;Rábade;1236;794;442;2;6;786;788;0;0;0;21;0;0;54;426;11;132;0;2;0;1;0;0;137;2;0;0;;
27;Lugo;51;Ribadeo;8096;5109;2987;49;44;5016;5065;0;0;1;185;0;0;596;2544;39;748;10;9;0;7;0;0;864;13;0;0;;
27;Lugo;52;Ribas de Sil;912;627;285;5;4;618;623;0;0;0;24;0;0;20;302;1;215;1;0;0;0;0;0;55;0;0;0;;
27;Lugo;53;Ribeira de Piquín;533;364;169;2;1;361;363;0;0;0;3;0;0;11;155;1;175;1;0;0;0;0;0;15;0;0;0;;
27;Lugo;54;Riotorto;1181;894;287;6;16;872;878;0;0;1;11;0;0;85;539;1;139;0;0;0;0;0;0;96;0;0;0;;
27;Lugo;55;Samos;1286;810;476;2;4;804;806;0;0;1;8;0;0;67;431;2;191;0;0;0;39;0;0;65;0;0;0;;
